,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
danceability,-0.168,-0.588,0.085,0.381,0.084,0.079,0.005,0.024,-0.648,-0.019,0.198
energy,-0.522,0.231,-0.042,0.105,0.051,-0.032,-0.2,0.092,0.213,0.075,0.747
valence,-0.251,-0.528,0.049,0.087,0.077,0.391,-0.241,-0.202,0.581,0.066,-0.222
tempo,-0.233,0.187,-0.163,-0.366,0.048,0.758,0.338,-0.024,-0.243,0.012,0.013
loudness,-0.507,0.109,-0.054,-0.015,0.008,-0.253,-0.004,0.071,-0.161,0.668,-0.431
key,-0.046,0.011,-0.025,0.172,-0.974,0.132,-0.029,-0.01,-0.01,0.029,0.005
acousticness,0.469,-0.201,0.203,-0.224,-0.035,0.101,0.07,-0.023,0.058,0.698,0.375
instrumentalness,0.277,0.266,-0.198,0.277,0.115,0.361,-0.664,0.309,-0.151,0.143,-0.118
liveness,-0.077,0.261,0.629,-0.112,-0.004,0.06,-0.352,-0.579,-0.226,-0.047,-0.034
speechiness,-0.07,0.092,0.693,0.162,0.019,0.151,0.216,0.614,0.135,-0.052,-0.107
duration_ms,0.122,0.295,-0.043,0.712,0.137,0.133,0.413,-0.36,0.129,0.172,-0.01
