artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),contains
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.506,0.773,0.946,123.616,-7.01,1,2,0.445,6.89e-06,0.266,0.0493,0,167427,31,1971,8/1/1971,Highway 49,True
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.57,0.8370000000000001,0.737,100.131,-7.053999999999999,0,11,0.14400000000000002,0.0691,0.513,0.0784,0,139827,28,1971,8/1/1971,Do The Do,True
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.547,0.561,0.551,139.13,-7.3389999999999995,1,2,0.413,7.5e-06,0.201,0.0287,0,182277,27,1971,8/1/1971,What A Woman,True
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.505,0.5670000000000001,0.591,117.984,-8.942,1,2,0.0535,0.00263,0.391,0.0371,0,239444,35,1971,8/1/1971,Red Rooster,True
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts', 'Hubert Sumlin']","[276085, 187478, 45313, 78802, 773407, 829643]",0.624,0.792,0.792,116.583,-7.567,1,7,0.298,0.00028,0.113,0.0427,0,223947,33,1971,8/1/1971,Rockin' Daddy,True
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts']","[276085, 187478, 45313, 78802, 773407]",0.705,0.722,0.753,120.81,-8.638,1,9,0.177,1.6800000000000002e-05,0.172,0.0504,0,270173,24,1971,8/1/1971,**** Dang Doodle,True
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts']","[276085, 187478, 45313, 78802, 773407]",0.593,0.8640000000000001,0.785,96.361,-7.829,1,7,0.0607,0.00028,0.114,0.032,0,210827,40,1971,8/1/1971,I Ain't *************,True
"[""Howlin' Wolf"", 'Eric Clapton', 'Steve Winwood', 'Bill Wyman', 'Charlie Watts']","[276085, 187478, 45313, 78802, 773407]",0.325,0.539,0.389,184.891,-8.315,1,4,0.105,0.013999999999999999,0.282,0.0369,0,230853,37,1971,8/1/1971,Sitting On Top Of The World,True
"[""Howlin' Wolf""]",[276085],0.6920000000000001,0.605,0.8420000000000001,82.96600000000001,-10.439,0,2,0.502,0.000637,0.114,0.0869,0,156733,24,1966,1/11/1966,Poor Boy,True
"[""Howlin' Wolf""]",[276085],0.511,0.41600000000000004,0.588,114.083,-14.205,1,4,0.264,6.0299999999999995e-05,0.0817,0.054000000000000006,0,174093,26,1967,1/1/1967,I'm The Wolf,True
"[""Howlin' Wolf""]",[276085],0.439,0.337,0.7,180.21099999999998,-12.681,1,5,0.912,0.00852,0.22399999999999998,0.0548,0,133907,20,1966,1/11/1966,The Natchez Burnin',True
"[""Howlin' Wolf""]",[276085],0.37,0.532,0.526,138.102,-12.159,1,0,0.599,0.0,0.154,0.0319,0,155133,20,1966,1/11/1966,My Country Sugar Mama,True
"[""Howlin' Wolf""]",[276085],0.585,0.638,0.6809999999999999,133.063,-11.192,1,7,0.525,0.0142,0.10400000000000001,0.0472,0,191640,23,1967,1/1/1967,You Can't Be Beat - Single Version,True
"[""Howlin' Wolf""]",[276085],0.5760000000000001,0.44299999999999995,0.7559999999999999,111.162,-10.625,1,0,0.094,0.0,0.19699999999999998,0.0282,0,168107,18,1966,1/11/1966,Tell Me What I've Done,True
"[""Howlin' Wolf""]",[276085],0.662,0.6,0.8009999999999999,120.448,-9.33,1,2,0.213,8.759999999999999e-05,0.0994,0.0361,0,161160,18,1966,1/11/1966,Ooh Baby (Hold Me),True
"[""Howlin' Wolf""]",[276085],0.556,0.433,0.5429999999999999,110.964,-11.075999999999999,1,2,0.9740000000000001,0.846,0.147,0.0601,0,176760,22,1967,1/1/1967,I've Got A Woman,True
"[""Howlin' Wolf""]",[276085],0.6709999999999999,0.629,0.8909999999999999,121.036,-12.998,1,2,0.57,0.0011,0.319,0.0445,0,154533,21,1967,1/1/1967,I Have A Little **** - Single Version,True
"[""Howlin' Wolf""]",[276085],0.684,0.544,0.8220000000000001,90.12200000000001,-10.992,1,9,0.632,0.000449,0.203,0.0296,0,231933,23,1969,11/4/1969,********,True
"[""Howlin' Wolf""]",[276085],0.685,0.24,0.7829999999999999,138.78799999999998,-15.804,0,7,0.92,1.56e-05,0.111,0.0409,0,170867,20,1975,1/1/1975,I Ain't ************* - Single Version,True
"[""Howlin' Wolf""]",[276085],0.6609999999999999,0.342,0.588,146.118,-16.361,0,9,0.8440000000000001,0.000128,0.26,0.043,0,188400,59,1958,3/1/1958,Smokestack Lightnin',True
"[""Howlin' Wolf""]",[276085],0.657,0.642,0.737,110.54299999999999,-12.98,1,7,0.9259999999999999,0.0165,0.12,0.085,0,163027,45,1958,3/1/1958,How Many More Years,True
"[""Howlin' Wolf""]",[276085],0.36200000000000004,0.507,0.755,93.46799999999999,-13.978,0,11,0.884,0.00607,0.11599999999999999,0.0463,0,176573,46,1958,3/1/1958,Moanin' At ********,True
"[""Howlin' Wolf""]",[276085],0.821,0.376,0.8240000000000001,119.039,-13.622,1,0,0.669,1.39e-05,0.106,0.0487,0,170000,54,1962,1/11/1962,********,True
